Date,Nifty
Jan-03-2005,2115
Jan-04-2005,2103.75
Jan-05-2005,2032.2
Jan-06-2005,1998.35
Jan-07-2005,2015.5
Jan-10-2005,1982
Jan-11-2005,1952.05
Jan-12-2005,1913.6
Jan-13-2005,1954.55
Jan-14-2005,1931.1
Jan-17-2005,1932.9
Jan-18-2005,1934.05
Jan-19-2005,1926.65
Jan-20-2005,1925.3
Jan-24-2005,1909
Jan-25-2005,1931.85
Jan-27-2005,1955
Jan-28-2005,2008.3
Jan-31-2005,2057.6
Feb-01-2005,2059.85
Feb-02-2005,2052.25
Feb-03-2005,2079.45
Feb-04-2005,2077.95
Feb-07-2005,2055.1
Feb-08-2005,2055.15
Feb-09-2005,2070
Feb-10-2005,2063.35
Feb-11-2005,2082.05
Feb-14-2005,2098.25
Feb-15-2005,2089.95
Feb-16-2005,2068.8
Feb-17-2005,2061.9
Feb-18-2005,2055.55
Feb-21-2005,2043.2
Feb-22-2005,2058.4
Feb-23-2005,2057.1
Feb-24-2005,2055.3
Feb-25-2005,2060.9
Feb-28-2005,2103.25
Mar-01-2005,2084.4
Mar-02-2005,2093.25
Mar-03-2005,2128.85
Mar-04-2005,2148.15
Mar-07-2005,2160.1
Mar-08-2005,2168.95
Mar-09-2005,2160.8
Mar-10-2005,2167.4
Mar-11-2005,2154
Mar-14-2005,2146.35
Mar-15-2005,2128.95
Mar-16-2005,2125.55
Mar-17-2005,2098.5
Mar-18-2005,2109.15
Mar-21-2005,2096.6
Mar-22-2005,2061.6
Mar-23-2005,2026.4
Mar-24-2005,2015.4
Mar-28-2005,2029.45
Mar-29-2005,1983.85
Mar-30-2005,1993.7
Mar-31-2005,2035.65
Apr-01-2005,2067.65
Apr-04-2005,2063.4
Apr-05-2005,2052.55
Apr-06-2005,2069.3
Apr-07-2005,2052.85
Apr-08-2005,2031.2
Apr-11-2005,2008.2
Apr-12-2005,2024.95
Apr-13-2005,2025.45
Apr-15-2005,1956.3
Apr-18-2005,1927.8
Apr-19-2005,1909.4
Apr-20-2005,1929.7
Apr-21-2005,1948.55
Apr-22-2005,1967.35
Apr-25-2005,1970.95
Apr-26-2005,1957.1
Apr-27-2005,1935.4
Apr-28-2005,1941.3
Apr-29-2005,1902.5
May-02-2005,1916.75
May-03-2005,1920.7
May-04-2005,1942.6
May-05-2005,1963.3
May-06-2005,1977.5
May-09-2005,2000.75
May-10-2005,1994.3
May-11-2005,1985.95
May-12-2005,1993.15
May-13-2005,1988.3
May-16-2005,2012.6
May-17-2005,1990.8
May-18-2005,1982.75
May-19-2005,1990.85
May-20-2005,1992.4
May-23-2005,2013.9
May-24-2005,2028.6
May-25-2005,2043.85
May-26-2005,2074.7
May-27-2005,2076.4
May-30-2005,2072.4
May-31-2005,2087.55
Jun-01-2005,2087.55
Jun-02-2005,2064.65
Jun-03-2005,2094.25
Jun-04-2005,2092.35
Jun-06-2005,2092.8
Jun-07-2005,2098.15
Jun-08-2005,2112.4
Jun-09-2005,2103.2
Jun-10-2005,2090.6
Jun-13-2005,2102.75
Jun-14-2005,2112.35
Jun-15-2005,2128.65
Jun-16-2005,2123.7
Jun-17-2005,2123.4
Jun-20-2005,2144.35
Jun-21-2005,2170
Jun-22-2005,2187.35
Jun-23-2005,2183.85
Jun-24-2005,2194.35
Jun-27-2005,2199.8
Jun-28-2005,2169.85
Jun-29-2005,2191.65
Jun-30-2005,2220.6
Jul-01-2005,2211.9
Jul-04-2005,2230.65
Jul-05-2005,2210.75
Jul-06-2005,2228.2
Jul-07-2005,2179.4
Jul-08-2005,2196.2
Jul-11-2005,2218.85
Jul-12-2005,2220.8
Jul-13-2005,2204.05
Jul-14-2005,2185.1
Jul-15-2005,2212.55
Jul-18-2005,2234
Jul-19-2005,2237.3
Jul-20-2005,2241.9
Jul-21-2005,2230.5
Jul-22-2005,2265.6
Jul-25-2005,2291.75
Jul-26-2005,2303.15
Jul-27-2005,2319.1
Jul-29-2005,2312.3
Aug-01-2005,2318.05
Aug-02-2005,2353.65
Aug-03-2005,2357
Aug-04-2005,2367.8
Aug-05-2005,2361.2
Aug-08-2005,2324.4
Aug-09-2005,2318.7
Aug-10-2005,2360.15
Aug-11-2005,2380.9
Aug-12-2005,2361.55
Aug-16-2005,2369.8
Aug-17-2005,2403.15
Aug-18-2005,2388.45
Aug-19-2005,2383.45
Aug-22-2005,2367.85
Aug-23-2005,2326.1
Aug-24-2005,2322.5
Aug-25-2005,2354.55
