Date,Nifty,SP500,Crude,EURUSD
Jan-03-2005,2115.00,1211.92,43.45,0.7386
Jan-04-2005,2103.75,1202.084379,42.12,0.7419
Jan-05-2005,2032.20,1188.045122,43.91,0.752
Jan-06-2005,1998.35,1183.736572,43.39,0.752
Jan-07-2005,2015.50,1187.8852,45.56,0.7583
Jan-10-2005,1982.00,1186.192795,45.43,0.7656
Jan-11-2005,1952.05,1190.245433,45.57,0.7627
Jan-12-2005,1913.60,1182.990797,45.91,0.7599
Jan-13-2005,1954.55,1187.702535,46.56,0.7529
Jan-14-2005,1931.10,1177.448217,48.19,0.7568
Jan-17-2005,1932.90,1184.516519,48.53,0.763
Jan-18-2005,1934.05,1184.516519,48.53,0.7647
Jan-19-2005,1926.65,1195.976502,48.48,0.7666
Jan-20-2005,1925.30,1184.631421,47.86,0.7675
Jan-24-2005,1909.00,1175.408046,47.31,0.7712
Jan-25-2005,1931.85,1163.752617,48.81,0.7666
Jan-27-2005,1955.00,1168.40909,49.64,0.7719
Jan-28-2005,2008.30,1174.550005,48.84,0.7674
Jan-31-2005,2057.60,1171.363302,47.18,0.767
Feb-01-2005,2059.85,1181.268115,48.2,0.7659
Feb-02-2005,2052.25,1189.406077,47.12,0.7682
Feb-03-2005,2079.45,1193.185312,46.69,0.7677
Feb-04-2005,2077.95,1189.893655,46.45,0.7715
Feb-07-2005,2055.10,1203.030356,46.48,0.7734
Feb-08-2005,2055.15,1201.720287,45.28,0.7824
Feb-09-2005,2070.00,1202.302774,45.4,0.7819
Feb-10-2005,2063.35,1191.988919,46.08,0.7813
Feb-11-2005,2082.05,1197.005589,47.77,0.776
Feb-14-2005,2098.25,1205.304251,47.8,0.7771
Feb-15-2005,2089.95,1206.142864,48.02,0.7704
Feb-16-2005,2068.80,1210.124479,47.77,0.7703
Feb-17-2005,2061.90,1210.33833,48.86,0.7694
Feb-18-2005,2055.55,1200.750997,48.22,0.7644
Feb-21-2005,2043.20,1201.585749,49.01,0.7648
Feb-22-2005,2058.40,1201.585749,49.01,0.7648
Feb-23-2005,2057.10,1184.162336,51.42,0.7553
Feb-24-2005,2055.30,1190.797798,51.17,0.7564
Feb-25-2005,2060.90,1200.200349,51.39,0.757
Feb-28-2005,2103.25,1211.365875,51.49,0.7576
Mar-01-2005,2084.40,1203.600115,51.75,0.7538
Mar-02-2005,2093.25,1210.411519,51.68,0.7581
Mar-03-2005,2128.85,1210.082648,53.05,0.7621
Mar-04-2005,2148.15,1210.469652,53.57,0.7615
Mar-07-2005,2160.10,1222.124505,53.78,0.7548
Mar-08-2005,2168.95,1225.313484,53.89,0.7579
Mar-09-2005,2160.80,1219.425726,54.59,0.7491
Mar-10-2005,2167.40,1207.008125,55.38,0.7483
Mar-11-2005,2154.00,1209.247885,54.26,0.7455
Mar-14-2005,2146.35,1200.075143,55.12,0.7426
Mar-15-2005,2128.95,1206.827245,55.65,0.7477
Mar-16-2005,2125.55,1197.751492,55.65,0.7509
Mar-17-2005,2098.50,1188.072292,57.04,0.7442
Mar-18-2005,2109.15,1190.20657,56.91,0.7473
Mar-21-2005,2096.60,1189.645327,57.24,0.7522
Mar-22-2005,2061.60,1183.784545,57.46,0.7583
Mar-23-2005,2026.40,1171.711469,56.03,0.7571
Mar-24-2005,2015.40,1172.529759,53.81,0.7682
Mar-28-2005,2029.45,1171.418334,54.84,0.7708
Mar-29-2005,1983.85,1174.278095,54.05,0.7769
Mar-30-2005,1993.70,1165.360694,54.23,0.7735
Mar-31-2005,2035.65,1181.410617,53.99,0.7722
Apr-01-2005,2067.65,1180.590902,55.4,0.7707
Apr-04-2005,2063.40,1172.920857,57.27,0.776
Apr-05-2005,2052.55,1176.122931,57.01,0.7795
Apr-06-2005,2069.30,1181.393329,56.04,0.7788
Apr-07-2005,2052.85,1184.065328,55.85,0.7778
Apr-08-2005,2031.20,1191.139129,54.11,0.7747
Apr-11-2005,2008.20,1181.19723,54.65,0.7782
Apr-12-2005,2024.95,1181.209813,55.1,0.7713
Apr-13-2005,2025.45,1187.758656,53.53,0.7758
Apr-15-2005,1956.30,1173.792682,52.13,0.7751
Apr-18-2005,1927.80,1142.624341,52.06,0.7732
Apr-19-2005,1909.40,1145.976406,51.47,0.7683
Apr-20-2005,1929.70,1152.784096,53.57,0.7667
Apr-21-2005,1948.55,1137.500078,54.03,0.765
Apr-22-2005,1967.35,1159.94632,54.2,0.7625
Apr-25-2005,1970.95,1152.122055,55.39,0.7642
Apr-26-2005,1957.10,1162.10165,54.57,0.7703
Apr-27-2005,1935.40,1151.735778,54.2,0.7712
Apr-28-2005,1941.30,1156.382274,51.61,0.7711
Apr-29-2005,1902.50,1143.216166,51.77,0.7739
May-02-2005,1916.75,1156.847521,49.72,0.7742
May-03-2005,1920.70,1162.163029,50.92,0.7785
May-04-2005,1942.60,1161.172536,49.5,0.7756
May-05-2005,1963.30,1175.650849,50.13,0.7717
May-06-2005,1977.50,1172.627389,50.83,0.7725
May-09-2005,2000.75,1171.345358,50.96,0.7781
May-10-2005,1994.30,1178.838619,52.03,0.7795
May-11-2005,1985.95,1166.217238,53.49,0.7761
May-12-2005,1993.15,1171.106972,51.95,0.78
May-13-2005,1988.30,1159.360376,50.19,0.7864
May-16-2005,2012.60,1154.051216,50.28,0.7904
May-17-2005,1990.80,1165.688702,50.17,0.7919
May-18-2005,1982.75,1173.80004,50.67,0.7912
May-19-2005,1990.85,1185.561972,49.13,0.7911
May-20-2005,1992.40,1191.079378,48.74,0.7922
May-23-2005,2013.90,1189.277981,48.65,0.7965
May-24-2005,2028.60,1193.860686,49.16,0.7945
May-25-2005,2043.85,1194.073112,49.67,0.7945
May-26-2005,2074.70,1190.005201,50.98,0.7937
May-27-2005,2076.40,1197.624813,51.01,0.7982
May-30-2005,2072.40,1198.783433,51.85,0.7969
May-31-2005,2087.55,1198.783433,51.85,0.8013
Jun-01-2005,2087.55,1191.499743,51.97,0.8097
Jun-02-2005,2064.65,1202.271328,54.6,0.815
Jun-03-2005,2094.25,1204.293918,53.63,0.8138
Jun-04-2005,2092.35,1196.015984,55.03,0.8143
Jun-06-2005,2092.80,1196.015984,55.03,0.8143
Jun-07-2005,2098.15,1197.505859,54.49,0.8138
Jun-08-2005,2112.40,1197.264172,53.76,0.8148
Jun-09-2005,2103.20,1194.669235,53.85,0.8109
Jun-10-2005,2090.60,1200.930724,55.57,0.8199
Jun-13-2005,2102.75,1198.108362,54.68,0.8246
Jun-14-2005,2112.35,1200.817732,56.82,0.8303
Jun-15-2005,2128.65,1203.910929,55.97,0.8299
Jun-16-2005,2123.70,1206.582715,56.41,0.8255
Jun-17-2005,2123.40,1210.955908,57.43,0.8273
Jun-20-2005,2144.35,1216.964529,59.18,0.8173
Jun-21-2005,2170.00,1216.100512,59.88,0.8237
Jun-22-2005,2187.35,1213.610754,59.04,0.8238
Jun-23-2005,2183.85,1213.878591,58.09,0.8239
Jun-24-2005,2194.35,1200.731504,59.42,0.8296
Jun-27-2005,2199.80,1191.569343,59.84,0.8269
Jun-28-2005,2169.85,1190.690758,60.54,0.822
Jun-29-2005,2191.65,1201.565774,58.2,0.8277
Jun-30-2005,2220.60,1199.850878,57.26,0.8285
Jul-01-2005,2211.90,1191.327612,56.5,0.8256
Jul-04-2005,2230.65,1194.440203,58.75,0.8353
Jul-05-2005,2210.75,1194.440203,58.75,0.8396
Jul-06-2005,2228.20,1204.989165,59.59,0.8396
Jul-07-2005,2179.40,1194.943947,61.28,0.8381
Jul-08-2005,2196.20,1197.86875,60.73,0.8365
Jul-11-2005,2218.85,1211.860947,59.63,0.8375
Jul-12-2005,2220.80,1219.442068,60.08,0.8281
Jul-13-2005,2204.05,1222.213285,61.48,0.8196
Jul-14-2005,2185.10,1223.288368,60.85,0.8266
Jul-15-2005,2212.55,1226.503424,58.7,0.8259
Jul-18-2005,2234.00,1227.922646,59.13,0.8302
Jul-19-2005,2237.30,1221.131669,58.42,0.8291
Jul-20-2005,2241.90,1229.348852,58.69,0.8337
Jul-21-2005,2230.50,1235.202227,58.02,0.8324
Jul-22-2005,2265.60,1227.043437,57.13,0.8249
Jul-25-2005,2291.75,1233.675123,58.65,0.8253
Jul-26-2005,2303.15,1229.03048,59,0.8285
Jul-27-2005,2319.10,1231.159531,59.2,0.8316
Jul-29-2005,2312.30,1236.787052,59.11,0.8304
Aug-01-2005,2318.05,1234.179458,60.57,0.8225
Aug-02-2005,2353.65,1235.347887,61.57,0.8189
Aug-03-2005,2357.00,1244.117966,61.89,0.8188
Aug-04-2005,2367.80,1245.044523,60.86,0.8116
Aug-05-2005,2361.20,1235.858796,61.38,0.8082
Aug-08-2005,2324.40,1226.420356,62.31,0.8102
Aug-09-2005,2318.70,1223.129471,63.94,0.8085
Aug-10-2005,2360.15,1231.380457,64.16,0.8097
Aug-11-2005,2380.90,1229.128827,66.06,0.8074
Aug-12-2005,2361.55,1237.81056,66.75,0.8035
Aug-16-2005,2369.80,1230.392834,67.37,0.8041
Aug-17-2005,2403.15,1219.344457,66.7,0.811
Aug-18-2005,2388.45,1220.236699,63.85,0.8124
Aug-19-2005,2383.45,1219.020202,63.77,0.8211
Aug-22-2005,2367.85,1219.712167,65.79,0.8233
Aug-23-2005,2326.10,1221.72631,65.65,0.8173
Aug-24-2005,2322.50,1217.573653,65.71,0.8191
Aug-25-2005,2354.55,1209.585444,67.32,0.8158
Aug-26-2005,2357.05,1212.394971,67.49,0.8135
Aug-29-2005,2337.65,1205.098029,66.13,0.8106
Aug-30-2005,2367.75,1212.282259,67.2,0.8148
Aug-31-2005,2384.65,1208.41325,69.81,0.82
Sep-01-2005,2405.75,1220.33099,68.94,0.8128
Sep-02-2005,2415.80,1221.588195,69.47,0.802
Sep-05-2005,2422.95,1218.021074,67.57,0.7966
Sep-06-2005,2428.65,1218.021074,67.57,0.7986
Sep-08-2005,2454.45,1233.393201,65.96,0.8009
Sep-09-2005,2455.45,1231.673742,64.49,0.8053
Sep-12-2005,2484.15,1241.47624,64.08,0.8043
Sep-13-2005,2500.35,1240.558147,64.01,0.8138
Sep-14-2005,2492.45,1231.197544,63.78,0.8141
Sep-15-2005,2523.95,1227.162167,65.73,0.8125
Sep-16-2005,2552.35,1227.727033,65.25,0.8182
Sep-19-2005,2567.10,1237.913337,63.34,0.8183
Sep-20-2005,2578.00,1231.021568,67.51,0.823
Sep-21-2005,2567.30,1221.344707,66.2,0.8212
Sep-22-2005,2476.50,1210.201363,66.8,0.8177
Sep-23-2005,2477.75,1214.621766,66.5,0.8232
Sep-26-2005,2557.35,1215.291395,64.19,0.8282
Sep-27-2005,2574.85,1215.627732,65.82,0.831
Sep-28-2005,2598.05,1215.661125,65.07,0.8328
Sep-29-2005,2611.20,1216.893703,66.35,0.8324
Sep-30-2005,2601.40,1227.675875,66.79,0.8323
Oct-03-2005,2630.05,1228.811379,66.24,0.8291
Oct-04-2005,2663.35,1226.703497,65.47,0.8393
Oct-05-2005,2644.40,1214.473381,63.9,0.8374
Oct-06-2005,2579.15,1196.388543,62.79,0.8361
Oct-07-2005,2574.05,1191.491633,61.36,0.8239
Oct-10-2005,2566.85,1195.904213,61.62,0.825
Oct-11-2005,2589.55,1187.330111,61.57,0.8299
Oct-13-2005,2537.30,1184.873686,63.05,0.8334
Oct-14-2005,2484.40,1176.842717,62.61,0.8378
Oct-17-2005,2485.15,1186.568651,61.99,0.8281
Oct-18-2005,2468.20,1190.103793,63.61,0.8311
Oct-19-2005,2412.45,1178.143344,62.44,0.8381
Oct-20-2005,2395.45,1195.755691,61.51,0.8343
Oct-21-2005,2443.75,1177.79805,60.02,0.8344
Oct-24-2005,2394.85,1179.594098,60.63,0.832
Oct-25-2005,2418.20,1199.382609,60.32,0.8345
Oct-26-2005,2408.50,1196.539458,62.44,0.8264
Oct-27-2005,2352.90,1191.382525,60.66,0.8276
Oct-28-2005,2316.05,1178.898188,61.09,0.823
Oct-31-2005,2370.95,1198.412586,61.22,0.8262
Nov-01-2005,2386.75,1207.005823,59.76,0.8345
Nov-02-2005,2419.05,1202.76125,59.85,0.8333
Nov-07-2005,2461.60,1214.756866,59.75,0.8285
Nov-08-2005,2492.65,1222.812644,59.47,0.8476
Nov-09-2005,2489.10,1218.58716,60.73,0.8495
Nov-10-2005,2500.70,1220.651131,59.76,0.8509
Nov-11-2005,2548.65,1230.964394,58.74,0.8516
Nov-14-2005,2558.70,1234.715419,58.48,0.854
Nov-16-2005,2582.75,1233.761241,58.51,0.8568
Nov-17-2005,2603.95,1231.214021,58.45,0.8567
Nov-18-2005,2620.05,1242.800751,57.15,0.8537
Nov-21-2005,2602.50,1248.272784,57.21,0.8514
Nov-22-2005,2572.85,1254.849034,53.58,0.8519
Nov-23-2005,2608.60,1261.22642,53.82,0.8518
Nov-24-2005,2635.00,1265.607083,53.58,0.8475
Nov-25-2005,2664.30,1265.607083,53.58,0.8486
Nov-26-2005,2683.45,1268.249669,53.58,0.8529
Nov-28-2005,2712.00,1268.249669,53.58,0.8529
Nov-29-2005,2698.30,1257.462155,52.73,0.8468
Nov-30-2005,2652.25,1257.484183,52.62,0.8481
Dec-01-2005,2698.95,1249.479127,53.71,0.848
Dec-02-2005,2697.95,1264.666691,54.79,0.8544
Dec-05-2005,2660.50,1265.080005,55.72,0.8545
Dec-06-2005,2662.30,1262.087057,56.52,0.8482
Dec-07-2005,2693.00,1263.696749,56.51,0.8482
Dec-08-2005,2706.70,1257.365165,56.4,0.853
Dec-09-2005,2756.45,1255.843677,58.02,0.845
Dec-12-2005,2776.20,1259.369129,56.62,0.8456
Dec-13-2005,2812.30,1260.431829,58.08,0.8354
Dec-14-2005,2804.55,1267.42546,57.71,0.8381
Dec-15-2005,2778.55,1272.736586,57.55,0.8303
Dec-16-2005,2810.15,1270.938733,57.06,0.8355
Dec-19-2005,2842.60,1267.320062,55.41,0.8323
Dec-20-2005,2826.20,1259.917798,54.78,0.8333
Dec-21-2005,2822.90,1259.62021,54.86,0.8438
Dec-22-2005,2835.25,1262.794937,55.25,0.8461
Dec-23-2005,2804.85,1268.123515,54.96,0.8413
Dec-26-2005,2749.60,1268.664276,55.09,0.8433
Dec-27-2005,2805.90,1268.664276,55.09,0.8435
Dec-28-2005,2794.05,1256.541005,54.76,0.8432
